Security,Symbol,GICS Sector,GICS Sub Industry,Dividend Yield,Market Cap ($M),P/E Ratio
Regency Centers Corporation,REG,Real Estate,Retail REITs,0.035378487,10632.556157,16.7214854111
Regeneron,REGN,Health Care,Biotechnology,0.0,45273.435776,22.6266447368
Regions Financial Corp.,RF,Financials,Regional Banks,0.035782747,16041.25,11.3115942029
Republic Services Inc,RSG,Industrials,Environmental & Facilities Services,0.019674711,24745.259494,26.1103448276
ResMed,RMD,Health Care,Health Care Equipment,0.015651438,13474.776265,26.2181303116
Robert Half International,RHI,Industrials,Human Resource & Employment Services,0.018363667,7408.762202,18.3358662614
Rockwell Automation Inc.,ROK,Industrials,Electrical Components & Equipment,0.023322914,20008.461066,20.3349753695
Rollins Inc.,ROL,Industrials,Environmental & Facilities Services,0.011014949,12480.644034,52.2638888889
Roper Technologies,ROP,Industrials,Industrial Conglomerates,0.0065336394,29286.44631,24.9123117803
Ross Stores,ROST,Consumer Discretionary,Apparel Retail,0.009728678,34283.171738,27.4236526946
Royal Caribbean Cruises Ltd,RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.025058172,23353.257289,12.9372119816
Salesforce.com,CRM,Information Technology,Internet Software & Services,0.0,114551.1,328.588888889
SBA Communications,SBAC,Real Estate,Specialized REITs,0.0,20088.493442,41.2705882353
Schlumberger Ltd.,SLB,Energy,Oil & Gas Equipment & Services,0.044444447,62233.39458,27.1042944785
Seagate Technology,STX,Information Technology,"Technology Hardware, Storage & Peripherals",0.057718735,12495.554739,7.84057971014
Sealed Air,SEE,Materials,Paper Packaging,0.016864295,5955.308456,16.2478632479
Sempra Energy,SRE,Utilities,Multi-Utilities,0.031653404,30950.971108,20.3936936937
Sherwin-Williams,SHW,Materials,Specialty Chemicals,0.0087569684,36779.226107,21.9403234802
Simon Property Group Inc,SPG,Real Estate,Retail REITs,0.04516967,54780.904941,14.6797004992
Skyworks Solutions,SWKS,Information Technology,Semiconductors,0.020974197,12865.743678,10.8026706231
SL Green Realty,SLG,Real Estate,Office REITs,0.038103776,7561.26097,13.4917293233
Snap-on,SNA,Industrials,Industrial Machinery,0.02328146,9088.37703,14.1835222319
Southern Co.,SO,Utilities,Electric Utilities,0.050526314,48872.21249,14.2162162162
Southwest Airlines,LUV,Industrials,Airlines,0.011640596,30915.616428,13.0892018779
"S&P Global, Inc.",SPGI,Financials,Financial Exchanges & Data,0.010564682,47497.879,23.1113161132
Stanley Black & Decker,SWK,Industrials,Industrial Machinery,0.021894178,18214.826135,14.8067484663
Starbucks Corp.,SBUX,Consumer Discretionary,Restaurants,0.021463706,83231.854,27.6219008264
State Street Corp.,STT,Financials,Asset Management & Custody Banks,0.025881057,27599.330031,9.95567867036
Stryker Corp.,SYK,Health Care,Health Care Equipment,0.012548263,62025.284527,23.0902679831
SunTrust Banks,STI,Financials,Regional Banks,0.032310178,27662.3672,10.7526315789
SVB Financial,SIVB,Financials,Regional Banks,0.0,12730.665301,13.300219539
Symantec Corp.,SYMC,Information Technology,Application Software,0.014720314,13020.546387,20.51
Synchrony Financial,SYF,Financials,Consumer Finance,0.028197381,21410.073,8.07466666667
Synopsys Inc.,SNPS,Information Technology,Application Software,0.0,13987.129373,25.6016713092
Sysco Corp.,SYY,Consumer Staples,Food Distributors,0.025153177,32237.227758,20.5382059801
T. Rowe Price Group,TROW,Financials,Asset Management & Custody Banks,0.02961396,22753.901696,13.2766853933
Take-Two Interactive,TTWO,Communication Services,Interactive Home Entertainment,0.0,11808.534178,35.4379310345
"Tapestry, Inc.",TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.036,10867.3497,14.1939163498
